StopId;Name;CoordinateX;CoordinateY;VehicleTypeId;NeighborStops
12172;Altıntaş;27,123157;38,408682;1;12173:30.100031:390
12173;Altıntaş;27,123433;38,408799;1;12172:30.100031:416
12174;Turgut Reis;27,120459;38,408416;1;12175:67.100031:288
12175;Turgut Reis;27,121119;38,408512;1;12174:67.100031:297
12176;Asansör;27,11746;38,40799;1;12177:6.100031:416
12177;Asansör;27,117462;38,408051;1;12176:6.100031:419
12178;Kemal Reis;27,11377;38,40785;1;10151:217.12179:12
12179;Kemal Reis;27,113657;38,407897;1;10151:206.12178:12
12180;Mektupçu;27,11195;38,40774;1;10151:164.12181:30
12181;Mektupçu;27,11173;38,40794;1;10151:149.12180:30
12182;Halil Rıfat Paşa;27,110097;38,406033;1;1000313:432
12189;Türkoğlu;27,105276;38,402625;1;12190:6.1000314:250
12190;Türkoğlu;27,105221;38,402609;1;12189:6.1000314:244
12191;Gönül;27,103623;38,404326;1;12192:26.1000314:290
12192;Gönül;27,10386;38,40421;1;12191:26.1000314:285
12193;İnönü;27,10055;38,40422;1;10161:175.10194:224.1000314:371
12198;Yağhaneler 3;27,12935;38,40129;1;12063:184.12065:91
12199;Kilimci Tepe;27,12724;38,39625;1;12200:12
12200;Kilimci Tepe;27,12735;38,3962;1;12199:12
12201;Narlık;27,12666;38,39354;1;12202:13.12204:153
12202;Narlık;27,1267838;38,3935586;1;12201:13.12204:161
12203;Zincirlikuyu;27,12452;38,39121;1;12204:168.12205:224.12206:235.12562:192.12563:179
12204;Zincirlikuyu;27,125853;38,39224;1;12203:168.12201:153.12202:161.12562:223.12563:210
12205;Kestelli;27,12252;38,39021;1;12203:224.12206:12
12206;Kestelli;27,12243;38,39013;1;12203:235.12205:12
12207;Bozyaka Cami;27,11991;38,3895;1;12208:7
12208;Bozyaka Cami;27,11991;38,38943;1;12207:7
12209;Karakuyu;27,11591;38,38721;1;12210:7
12210;Karakuyu;27,11598;38,3872;1;12209:7
12211;Karaselvi;27,11465;38,38507;1;12212:62
12212;Karaselvi;27,115161;38,385425;1;12211:62
12213;Bayram Kahya;27,113103;38,382222;1;12214:86
12214;Bayram Kahya;27,11313;38,38136;1;12213:86
12215;Kuyu;27,11058;38,37781;1;12216:62
12216;Kuyu;27,110111;38,377405;1;12215:62
12217;Yıkık Cami;27,10743;38,37619;1;12218:51.12508:90.12509:90
12218;Yıkık Cami;27,10763;38,37572;1;12217:51
12219;Eski İzmir Karakolu;27,10748;38,37323;1;12220:31
12220;Eski İzmir Karakolu;27,10751;38,37292;1;12219:31
12221;Hulusi Kentmen 2;27,10707;38,37157;1;12222:22.12223:52.12754:54
